vat_number,count,names
220002877700002,3,NAJEEB ALMEHZA CONTRACTING | NAJEEB ALMEHZA CONTRACTING EST. | NAJEEB ALMEHZA CONTRACTING ESTABLISHMENT
220005452600002,3,HAJI ALI HAJI GENERAL TRADING CO. W.L.L | MOHAMMAD KHALID A. SATHAR TRADING EST. | SHAMA GULF TRADING & CONTRACTING (MAGIC GULF ELECTRICALS)
200011464100002,2,AIR WAFE ELECTRICAL TOOLS CO. W.L.L | AL BAHAR ELECTRICAL CONTRACTING EST.
200011526700002,2,BURGERLAND RESTAURANT | JAMEEL SALMAN CONTRACTING
200012040800002,2,AL MOSAWI TRADING & ELECTRICAL CONTRACTING. | AL MOUSSAWI INTERNATIONAL FOR ELECTRICAL CONTRACTING B.S.C CLOSED
220001288800002,2,AL RAHMA IRON FABRICATION | ZEKO GENERAL TRADING
220002800900002,2,YAO GUANG LIGHTING W.L.L | YAO GUANG LIGHTING W.L.L  (HARDWARE)
220004102800002,2,REFRESHMENT TRADING CO OF BAHRAIN | REFRESHMENT TRADING CO.
220005326200002,2,ANWAR AL BAHRAIN PHONES | ANWER AL BAHRAIN PHONES
220005434400002,2,AL DAR EQUIPMENT HIRING | ALDAR EQUIPMENT HIRING CO.W.L.L
220009826700002,2,AL RAJIH ELECTRICAL EQUIPMENTS EST. | ZUMAS ELECTRICAL EQUIPMENTS
220012534200002,2,ABU AHMED CARPENTARY & BUILDING MATERIALS EST. | AL NIBRAS PLACE ELECTRICAL ITEMS
220014870800002,2,GREEN HOME BUILDING MATERIALS | VILLAGE LIGHTS
200000016200002,2,EBRAHIM KHALIL KANOO CO. B.S.C (CLOSED) | KANOO POWER SOLUTION
220016420000002,2,FLOWVENT CO WLL | FLOWVENT W.L.L
200000860300002,2,KANOO MOTORS S.P.C | KANOO MOTORS W.L.L
