code,name,tel,since
S0053,AL ABDULI TRADING CO. W.L.L,,2026-04-15
S0064,AL BAHAR ELECTRICAL CONTRACTING EST.,17778589,2026-04-15
S0085,AL FARAZDAQ TRADING,,2026-04-15
S0148,AL MAHAR ELECTRICAL,33874003,2026-04-15
S0117,AL MOUSSAWI INTERNATIONAL FOR ELECTRICAL CONTRACTING B.S.C CLOSED,,2026-04-15
S0126,AL NASEEHA BUILDING MATERIALS,39391077,2026-04-15
S0102,ALDAR EQUIPMENT HIRING CO.W.L.L,,2026-04-15
S0162,AWAL ELECTRIC,,2026-04-15
S0168,IV TRADERS W.L.L,,2026-04-15
S0081,MAN SHIP RADING CO. W.L.L,,2026-04-15
S0125,MEGALINK TRADING AND CONTRACTING CO. W.L.L,36884701,2026-04-15
S0124,NOOR AL ZAMAN SANITARY WARE,,2026-04-15
S0134,SAYED MOHAMMED HASHIM ALHASHIMI AND PARTNERS-PARTNERSHIP,,2026-04-15
S0052,URANS CONTRACTING,,2026-04-15
